2019-03-08 20:02:04,048:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:03:50,512:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:05:00,060:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:08:14,915:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:12:42,894:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:22:29,211:INFO:Begin running with train_and_evaluate mode
2020-05-11 13:39:26,313:INFO:step: 57, loss: 9.7637
2020-05-11 13:39:39,865:INFO:step: 58, loss: 9.5293
2020-05-11 13:39:50,642:INFO:step: 59, loss: 10.2497
2020-05-11 13:40:02,746:INFO:step: 60, loss: 9.9495
2020-05-11 13:40:12,555:INFO:step: 61, loss: 8.7856
2020-05-11 13:40:23,471:INFO:step: 62, loss: 10.1092
2020-05-11 13:40:34,851:INFO:step: 63, loss: 9.5028
2020-05-11 13:40:45,681:INFO:step: 64, loss: 9.5566
2020-05-11 13:40:57,033:INFO:step: 65, loss: 9.3937
2020-05-11 13:41:10,957:INFO:step: 66, loss: 9.3538
2020-05-11 13:41:24,991:INFO:step: 67, loss: 9.3681
2020-05-11 13:41:37,849:INFO:step: 68, loss: 9.5959
2020-05-11 13:41:52,840:INFO:step: 69, loss: 9.5884
2020-05-11 13:42:11,133:INFO:step: 70, loss: 9.2260
2020-05-11 13:42:23,196:INFO:step: 71, loss: 9.2911
2020-05-11 13:42:32,750:INFO:step: 72, loss: 9.1430
2020-05-11 13:42:42,391:INFO:step: 73, loss: 8.3595
2020-05-11 13:42:55,194:INFO:step: 74, loss: 9.0975
2020-05-11 13:43:06,737:INFO:step: 75, loss: 8.8470
2020-05-11 13:43:16,909:INFO:step: 76, loss: 8.8671
2020-05-11 13:43:27,650:INFO:step: 77, loss: 8.8567
2020-05-11 13:43:37,064:INFO:step: 78, loss: 8.8174
2020-05-11 13:43:53,111:INFO:step: 79, loss: 9.5371
2020-05-11 13:44:08,735:INFO:step: 80, loss: 8.7815
2020-05-11 13:44:19,681:INFO:step: 81, loss: 8.6997
2020-05-11 13:44:27,379:INFO:step: 82, loss: 9.1842
2020-05-11 13:44:34,403:INFO:step: 83, loss: 8.6346
2020-05-11 13:44:47,221:INFO:step: 84, loss: 8.8033
2020-05-11 13:44:56,198:INFO:step: 85, loss: 8.6663
2020-05-11 13:45:03,973:INFO:step: 86, loss: 8.6600
2020-05-11 13:45:11,593:INFO:step: 87, loss: 8.5485
2020-05-11 13:45:19,301:INFO:step: 88, loss: 8.7084
2020-05-11 13:45:26,997:INFO:step: 89, loss: 8.4842
2020-05-11 13:45:34,778:INFO:step: 90, loss: 8.7523
2020-05-11 13:45:42,290:INFO:step: 91, loss: 8.5105
2020-05-11 13:45:49,813:INFO:step: 92, loss: 8.4599
2020-05-11 13:45:57,615:INFO:step: 93, loss: 9.1335
2020-05-11 13:46:05,391:INFO:step: 94, loss: 8.6427
2020-05-11 13:46:12,889:INFO:step: 95, loss: 8.4931
2020-05-11 13:46:20,408:INFO:step: 96, loss: 8.6076
2020-05-11 13:46:27,950:INFO:step: 97, loss: 8.5603
2020-05-11 13:46:35,452:INFO:step: 98, loss: 8.2745
2020-05-11 13:46:42,974:INFO:step: 99, loss: 8.5996
2020-05-11 13:46:50,509:INFO:step: 100, loss: 8.5598
2020-05-11 13:46:58,273:INFO:step: 101, loss: 8.7316
2020-05-11 13:47:06,247:INFO:step: 102, loss: 8.3869
2020-05-11 13:47:13,704:INFO:step: 103, loss: 8.2806
2020-05-11 13:47:21,359:INFO:step: 104, loss: 7.9059
2020-05-11 13:47:29,012:INFO:step: 105, loss: 8.3078
2020-05-11 13:47:36,634:INFO:step: 106, loss: 8.3056
2020-05-11 13:47:44,527:INFO:step: 107, loss: 8.8281
2020-05-11 13:47:52,163:INFO:step: 108, loss: 8.1942
2020-05-11 13:47:59,766:INFO:step: 109, loss: 7.8479
2020-05-11 13:48:07,499:INFO:step: 110, loss: 8.1461
2020-05-11 13:48:14,969:INFO:step: 111, loss: 7.8044
2020-05-11 13:48:22,485:INFO:step: 112, loss: 8.1579
2020-05-11 13:48:29,977:INFO:step: 113, loss: 8.6991
2020-05-11 13:48:37,447:INFO:step: 114, loss: 8.7127
2020-05-11 13:48:44,899:INFO:step: 115, loss: 8.0942
2020-05-11 13:48:52,387:INFO:step: 116, loss: 8.2972
2020-05-11 13:48:59,982:INFO:step: 117, loss: 8.0720
2020-05-11 13:49:09,177:INFO:step: 118, loss: 8.0573
2020-05-11 13:49:18,716:INFO:step: 119, loss: 8.2989
2020-05-11 13:49:27,612:INFO:step: 120, loss: 7.9644
2020-05-11 13:49:39,051:INFO:step: 121, loss: 8.0268
2020-05-11 13:49:49,958:INFO:step: 122, loss: 7.9809
2020-05-11 13:49:59,868:INFO:step: 123, loss: 7.9993
2020-05-11 13:50:09,223:INFO:step: 124, loss: 8.4414
2020-05-11 13:50:18,402:INFO:step: 125, loss: 7.6079
2020-05-11 13:50:28,197:INFO:step: 126, loss: 7.6423
2020-05-11 13:50:37,485:INFO:step: 127, loss: 8.5076
2020-05-11 13:50:46,858:INFO:step: 128, loss: 7.9485
2020-05-11 13:50:56,254:INFO:step: 129, loss: 7.6276
2020-05-11 13:51:05,186:INFO:step: 130, loss: 8.1502
2020-05-11 13:51:14,340:INFO:step: 131, loss: 8.4443
2020-05-11 13:51:23,464:INFO:step: 132, loss: 7.8385
2020-05-11 13:51:32,534:INFO:step: 133, loss: 7.7213
2020-05-11 13:51:41,584:INFO:step: 134, loss: 8.3060
2020-05-11 13:51:50,693:INFO:step: 135, loss: 7.5056
2020-05-11 13:51:59,762:INFO:step: 136, loss: 8.3122
2020-05-11 13:52:08,705:INFO:step: 137, loss: 7.8527
2020-05-11 13:52:17,566:INFO:step: 138, loss: 7.7171
2020-05-11 13:52:26,514:INFO:step: 139, loss: 7.7949
2020-05-11 13:52:35,545:INFO:step: 140, loss: 8.2956
2020-05-11 13:52:44,991:INFO:step: 141, loss: 7.4972
2020-05-11 13:52:54,288:INFO:step: 142, loss: 8.2628
2020-05-11 13:53:04,225:INFO:step: 143, loss: 7.8016
2020-05-11 13:53:13,329:INFO:step: 144, loss: 7.7535
2020-05-11 13:53:22,387:INFO:step: 145, loss: 8.2134
2020-05-11 13:53:31,653:INFO:step: 146, loss: 8.1772
2020-05-11 13:53:40,686:INFO:step: 147, loss: 7.3996
2020-05-11 13:53:49,952:INFO:step: 148, loss: 8.1774
2020-05-11 13:53:59,071:INFO:step: 149, loss: 8.1682
2020-05-11 13:54:08,157:INFO:step: 150, loss: 7.6053
2020-05-11 13:54:25,643:INFO:step: 151, loss: 7.6299
2020-05-11 13:54:35,285:INFO:step: 152, loss: 8.0977
2020-05-11 13:54:48,527:INFO:step: 153, loss: 7.9835
2020-05-11 13:55:01,908:INFO:step: 154, loss: 8.1100
2020-05-11 13:55:11,499:INFO:step: 155, loss: 8.0610
2020-05-11 13:55:20,860:INFO:step: 156, loss: 7.3480
2020-05-11 13:55:30,441:INFO:step: 157, loss: 7.6342
2020-05-11 13:55:41,241:INFO:step: 158, loss: 7.6133
2020-05-11 13:55:52,642:INFO:step: 159, loss: 7.4671
2020-05-11 13:56:02,157:INFO:step: 160, loss: 7.6007
2020-05-11 13:56:11,327:INFO:step: 161, loss: 7.6226
2020-05-11 13:56:20,492:INFO:step: 162, loss: 7.6263
2020-05-11 13:56:29,594:INFO:step: 163, loss: 7.9441
2020-05-11 13:56:38,618:INFO:step: 164, loss: 7.9918
2020-05-11 13:56:47,822:INFO:step: 165, loss: 7.5105
2020-05-11 13:56:56,894:INFO:step: 166, loss: 7.9107
2020-05-11 13:57:05,889:INFO:step: 167, loss: 7.5023
2020-05-11 13:57:14,977:INFO:step: 168, loss: 7.9919
2020-05-11 13:57:24,130:INFO:step: 169, loss: 7.9028
2020-05-11 13:57:33,348:INFO:step: 170, loss: 7.2627
2020-05-11 13:57:42,705:INFO:step: 171, loss: 7.3091
2020-05-11 13:57:52,057:INFO:step: 172, loss: 7.4507
2020-05-11 13:58:01,822:INFO:step: 173, loss: 7.2682
2020-05-11 13:58:12,538:INFO:step: 174, loss: 7.3420
2020-05-11 13:58:21,520:INFO:step: 175, loss: 7.9178
2020-05-11 13:58:30,623:INFO:step: 176, loss: 7.7341
2020-05-11 13:58:39,694:INFO:step: 177, loss: 7.3026
2020-05-11 13:58:48,936:INFO:step: 178, loss: 7.3054
2020-05-11 13:58:58,423:INFO:step: 179, loss: 7.2902
2020-05-11 13:59:07,483:INFO:step: 180, loss: 7.8187
2020-05-11 13:59:16,532:INFO:step: 181, loss: 7.6831
2020-05-11 13:59:25,368:INFO:step: 182, loss: 7.2088
2020-05-11 13:59:34,320:INFO:step: 183, loss: 7.3319
2020-05-11 13:59:43,765:INFO:step: 184, loss: 7.2133
2020-05-11 13:59:52,780:INFO:step: 185, loss: 7.2684
2020-05-11 14:00:01,896:INFO:step: 186, loss: 7.2171
2020-05-11 14:00:11,343:INFO:step: 187, loss: 7.7440
2020-05-11 14:00:20,548:INFO:step: 188, loss: 7.1968
2020-05-11 14:00:30,534:INFO:step: 189, loss: 7.4205
2020-05-11 14:00:39,652:INFO:step: 190, loss: 7.7373
2020-05-11 14:00:48,709:INFO:step: 191, loss: 7.3884
2020-05-11 14:00:57,932:INFO:step: 192, loss: 7.1085
2020-05-11 14:01:07,133:INFO:step: 193, loss: 7.4101
2020-05-11 14:01:16,113:INFO:step: 194, loss: 7.7879
2020-05-11 14:01:25,239:INFO:step: 195, loss: 7.1875
2020-05-11 14:01:34,356:INFO:step: 196, loss: 7.7008
2020-05-11 14:01:43,318:INFO:step: 197, loss: 7.0925
2020-05-11 14:01:52,265:INFO:step: 198, loss: 7.6645
2020-05-11 14:02:01,518:INFO:step: 199, loss: 7.7140
2020-05-11 14:02:10,755:INFO:step: 200, loss: 7.7241
2020-05-11 14:02:19,991:INFO:step: 201, loss: 7.1208
2020-05-11 14:02:29,223:INFO:step: 202, loss: 7.0578
2020-05-11 14:02:38,297:INFO:step: 203, loss: 7.3499
2020-05-11 14:02:47,678:INFO:step: 204, loss: 7.0782
2020-05-11 14:02:56,991:INFO:step: 205, loss: 7.0712
2020-05-11 14:03:06,151:INFO:step: 206, loss: 7.6329
2020-05-11 14:03:15,269:INFO:step: 207, loss: 7.7343
2020-05-11 14:03:24,199:INFO:step: 208, loss: 7.5577
2020-05-11 14:03:33,222:INFO:step: 209, loss: 7.3117
2020-05-11 14:03:42,856:INFO:step: 210, loss: 7.0367
2020-05-11 14:03:51,752:INFO:step: 211, loss: 7.0543
2020-05-11 14:04:00,683:INFO:step: 212, loss: 7.3144
2020-05-11 14:04:09,735:INFO:step: 213, loss: 7.4950
2020-05-11 14:04:18,704:INFO:step: 214, loss: 7.4666
2020-05-11 14:04:27,654:INFO:step: 215, loss: 6.9521
2020-05-11 14:04:36,545:INFO:step: 216, loss: 7.2663
2020-05-11 14:04:47,402:INFO:step: 217, loss: 7.6936
2020-05-11 14:04:56,469:INFO:step: 218, loss: 7.0090
2020-05-11 14:05:05,537:INFO:step: 219, loss: 6.9678
2020-05-11 14:05:14,533:INFO:step: 220, loss: 7.3836
2020-05-11 14:05:23,603:INFO:step: 221, loss: 6.9442
2020-05-11 14:05:32,957:INFO:step: 222, loss: 7.4347
2020-05-11 14:05:42,204:INFO:step: 223, loss: 7.2342
2020-05-11 14:05:51,355:INFO:step: 224, loss: 7.3058
